date,title,first_prize,front_three,back_three,back_two
2025-05-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 พฤษภาคม 2568,213388,"826,116","167,662",06
2025-04-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 เมษายน 2568,266227,"413,254","474,760",85
2025-04-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 เมษายน 2568,669687,"635,760","180,666",36
2025-03-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มีนาคม 2568,757563,"595,927","457,309",32
2025-03-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มีนาคม 2568,818894,"139,530","656,781",54
2025-02-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กุมภาพันธ์ 2568,847377,"268,613","652,001",50
2025-02-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กุมภาพันธ์ 2568,558700,"285,418","685,824",51
2025-01-17,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 17 มกราคม 2568,807779,"699,961","448,477",23
2025-01-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 มกราคม 2568,730209,"446,065","376,297",51
2024-12-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ธันวาคม 2567,097863,"290,742","339,881",21
2024-12-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ธันวาคม 2567,669843,"559,626","098,654",61
2024-11-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤศจิกายน 2567,187221,"036,923","980,547",38
2024-11-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 พฤศจิกายน 2567,536044,"174,225","063,231",32
2024-10-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ตุลาคม 2567,482962,"561,648","493,919",00
2024-10-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ตุลาคม 2567,718665,"053,812","079,566",59
2024-09-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กันยายน 2567,608662,"230,904","008,408",37
2024-09-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กันยายน 2567,199606,"173,220","094,388",94
2024-08-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 สิงหาคม 2567,095867,"212,334","697,728",28
2024-08-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 สิงหาคม 2567,407041,"408,579","622,070",46
2024-07-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กรกฎาคม 2567,367336,"011,331","421,618",21
2024-07-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กรกฎาคม 2567,434503,"839,975","647,778",89
2024-06-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มิถุนายน 2567,518504,"016,428","426,447",31
2024-06-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มิถุนายน 2567,530593,"194,364","421,734",42
2024-05-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤษภาคม 2567,205690,"885,747","137,070",60
2024-05-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 พฤษภาคม 2567,980116,"104,763","634,833",17
2024-04-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 เมษายน 2567,943598,"729,727","154,200",79
2024-04-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 เมษายน 2567,803481,"122,809","559,947",90
2024-03-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มีนาคม 2567,997626,"571,509","794,329",78
2024-03-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มีนาคม 2567,253603,"900,975","382,703",79
2024-02-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กุมภาพันธ์ 2567,941395,"056,330","587,375",43
2024-02-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กุมภาพันธ์ 2567,607063,"454,943","544,591",09
2024-01-17,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 17 มกราคม 2567,105979,"429,931","196,635",61
2023-12-30,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 30 ธันวาคม 2566,625544,"600,648","882,456",89
2023-12-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ธันวาคม 2566,356757,"058,410","584,964",85
2023-12-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ธันวาคม 2566,251097,"055,265","092,280",91
2023-11-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤศจิกายน 2566,557990,"346,412","778,961",14
2023-11-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 พฤศจิกายน 2566,743951,"335,913","019,349",63
2023-10-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ตุลาคม 2566,931446,"167,398","272,970",44
2023-10-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ตุลาคม 2566,727202,"355,324","426,615",66
2023-09-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กันยายน 2566,320812,"037,699","057,344",46
2023-09-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กันยายน 2566,915478,"521,596","692,291",91
2023-08-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 สิงหาคม 2566,471782,"431,739","737,742",67
2023-07-31,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 31 กรกฎาคม 2566,260453,"268,708","387,601",11
2023-07-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กรกฎาคม 2566,169530,"261,384","066,780",62
2023-07-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กรกฎาคม 2566,922605,"281,867","491,947",16
2023-06-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มิถุนายน 2566,264872,"519,628","202,874",30
2023-06-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มิถุนายน 2566,125272,"000,681","386,971",09
2023-05-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤษภาคม 2566,132903,"739,678","693,731",99
2023-05-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 พฤษภาคม 2566,843019,"500,780","269,187",65
2023-04-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 เมษายน 2566,984906,"670,678","797,551",71
2023-04-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 เมษายน 2566,087907,"111,914","290,698",99
2023-03-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มีนาคม 2566,025873,"420,800","355,544",73
